id;marca;nombre;descripcion;precio;stock
1;budgetary;Dynamic;concept Buckinghamshire gold;24552;81405
2;Sahara Rubber;synthesizing;Practical deposit synergistic;77105;89745
3;Liberian;Awesome Tunnel;virtual Tools back-end;16908;53648
4;Verde portals;calculating Soft North;payment;37270;87206
5;incubate;bluetooth primary scalable;Soft port;92525;63316
6;local real-time;product;collaboration;3519;7688
7;quantifying state Tasty;circuit Jewelery;copying;73001;18378
8;Berkshire Franc;Utah uniform generating;orchid plug-and-play;16687;5430
9;Shirt;function Personal;matrices withdrawal;32958;37465
10;Checking hard Georgia;European Manager;Meadow encoding collaboration;41677;40288
